Sprint Day,Shift,Nurse,Doctor,Admin
Monday,Night,3,2,3
Monday,Morning,0,0,0
Monday,Evening,2,0,2
Tuesday,Night,3,3,2
Tuesday,Morning,3,2,3
Tuesday,Evening,1,0,0
Wednesday,Night,0,2,3
Wednesday,Morning,0,0,2
Wednesday,Evening,3,2,1
Thursday,Night,3,1,2
Thursday,Morning,1,3,1
Thursday,Evening,2,1,2
Friday,Night,3,2,1
Friday,Morning,1,0,1
Friday,Evening,1,1,1
Saturday,Night,0,2,1
Saturday,Morning,0,1,0
Saturday,Evening,3,3,2
Sunday,Night,1,3,2
Sunday,Morning,1,3,0
Sunday,Evening,1,2,2
Next Monday,Night,3,2,1
Next Monday,Morning,3,3,2
Next Monday,Evening,2,3,3
Next Tuesday,Night,3,2,1
Next Tuesday,Morning,3,1,2
Next Tuesday,Evening,1,3,3
Next Wednesday,Night,0,0,3
Next Wednesday,Morning,2,1,2
Next Wednesday,Evening,1,1,1
Next Thursday,Night,1,0,3
Next Thursday,Morning,1,3,2
Next Thursday,Evening,3,2,2
Next Friday,Night,2,2,2
Next Friday,Morning,1,3,2
Next Friday,Evening,2,3,0
Next Saturday,Night,1,2,1
Next Saturday,Morning,3,3,3
Next Saturday,Evening,2,0,2
Next Sunday,Night,3,2,0
Next Sunday,Morning,1,0,2
Next Sunday,Evening,1,1,2
