Sprint Day,Shift,Nurse,Doctor,Admin
Monday,Night,2,3,1
Monday,Morning,3,2,0
Monday,Evening,2,3,0
Tuesday,Night,1,2,3
Tuesday,Morning,3,3,2
Tuesday,Evening,2,1,0
Wednesday,Night,3,0,1
Wednesday,Morning,3,2,2
Wednesday,Evening,3,2,1
Thursday,Night,0,2,3
Thursday,Morning,3,2,0
Thursday,Evening,3,0,1
Friday,Night,2,3,0
Friday,Morning,0,1,2
Friday,Evening,1,1,2
Saturday,Night,3,1,0
Saturday,Morning,3,0,2
Saturday,Evening,1,0,0
Sunday,Night,2,3,2
Sunday,Morning,2,0,0
Sunday,Evening,1,2,0
Next Monday,Night,1,0,0
Next Monday,Morning,0,0,3
Next Monday,Evening,1,0,3
Next Tuesday,Night,0,3,1
Next Tuesday,Morning,1,2,3
Next Tuesday,Evening,0,3,1
Next Wednesday,Night,3,2,0
Next Wednesday,Morning,0,2,3
Next Wednesday,Evening,1,3,2
Next Thursday,Night,2,3,1
Next Thursday,Morning,2,1,0
Next Thursday,Evening,0,2,0
Next Friday,Night,3,2,1
Next Friday,Morning,1,2,0
Next Friday,Evening,2,0,3
Next Saturday,Night,0,0,0
Next Saturday,Morning,2,1,1
Next Saturday,Evening,1,1,1
Next Sunday,Night,2,0,1
Next Sunday,Morning,2,1,2
Next Sunday,Evening,3,0,1
