Sprint Day,Shift,Nurse,Doctor,Admin
Monday,Night,2,3,1
Monday,Morning,0,0,2
Monday,Evening,0,2,2
Tuesday,Night,1,2,0
Tuesday,Morning,1,0,0
Tuesday,Evening,1,3,0
Wednesday,Night,1,1,1
Wednesday,Morning,3,1,3
Wednesday,Evening,3,0,2
Thursday,Night,0,3,3
Thursday,Morning,0,3,0
Thursday,Evening,3,0,1
Friday,Night,0,1,3
Friday,Morning,1,3,2
Friday,Evening,2,1,0
Saturday,Night,1,1,2
Saturday,Morning,2,0,0
Saturday,Evening,2,0,2
Sunday,Night,1,2,0
Sunday,Morning,3,1,1
Sunday,Evening,3,1,3
Next Monday,Night,3,2,1
Next Monday,Morning,2,3,3
Next Monday,Evening,2,1,1
Next Tuesday,Night,0,1,1
Next Tuesday,Morning,0,3,2
Next Tuesday,Evening,0,3,1
Next Wednesday,Night,0,1,2
Next Wednesday,Morning,0,2,2
Next Wednesday,Evening,1,1,3
Next Thursday,Night,1,2,1
Next Thursday,Morning,0,0,2
Next Thursday,Evening,0,2,3
Next Friday,Night,0,0,3
Next Friday,Morning,1,1,3
Next Friday,Evening,1,1,0
Next Saturday,Night,2,0,0
Next Saturday,Morning,0,1,2
Next Saturday,Evening,1,2,2
Next Sunday,Night,3,1,1
Next Sunday,Morning,1,3,1
Next Sunday,Evening,2,3,2
