Sprint Day,Shift,Nurse,Doctor,Admin
Monday,Night,0,1,2
Monday,Morning,1,0,3
Monday,Evening,3,1,2
Tuesday,Night,0,0,2
Tuesday,Morning,0,1,1
Tuesday,Evening,1,0,0
Wednesday,Night,3,0,3
Wednesday,Morning,0,2,2
Wednesday,Evening,1,2,0
Thursday,Night,1,1,3
Thursday,Morning,1,3,3
Thursday,Evening,1,2,3
Friday,Night,3,2,0
Friday,Morning,2,0,3
Friday,Evening,0,3,0
Saturday,Night,0,1,3
Saturday,Morning,3,0,3
Saturday,Evening,1,1,1
Sunday,Night,2,1,1
Sunday,Morning,1,3,0
Sunday,Evening,0,3,0
Next Monday,Night,2,1,2
Next Monday,Morning,3,3,1
Next Monday,Evening,2,1,2
Next Tuesday,Night,1,3,0
Next Tuesday,Morning,3,2,1
Next Tuesday,Evening,1,2,2
Next Wednesday,Night,3,0,0
Next Wednesday,Morning,2,0,2
Next Wednesday,Evening,0,1,1
Next Thursday,Night,2,1,0
Next Thursday,Morning,0,0,2
Next Thursday,Evening,3,1,0
Next Friday,Night,0,1,3
Next Friday,Morning,0,0,0
Next Friday,Evening,2,3,1
Next Saturday,Night,0,3,2
Next Saturday,Morning,2,3,0
Next Saturday,Evening,2,1,3
Next Sunday,Night,0,0,0
Next Sunday,Morning,1,2,0
Next Sunday,Evening,3,2,3
