Sprint Day,Shift,Nurse,Doctor,Admin
Monday,Night,1,1,2
Monday,Morning,2,3,1
Monday,Evening,2,3,3
Tuesday,Night,1,3,1
Tuesday,Morning,2,1,0
Tuesday,Evening,1,0,0
Wednesday,Night,0,2,1
Wednesday,Morning,2,2,2
Wednesday,Evening,0,0,3
Thursday,Night,3,3,0
Thursday,Morning,0,1,2
Thursday,Evening,0,0,1
Friday,Night,2,3,0
Friday,Morning,2,3,3
Friday,Evening,1,1,1
Saturday,Night,1,3,3
Saturday,Morning,2,2,3
Saturday,Evening,0,2,3
Sunday,Night,0,3,2
Sunday,Morning,3,1,1
Sunday,Evening,3,3,2
Next Monday,Night,3,1,2
Next Monday,Morning,1,2,3
Next Monday,Evening,1,2,0
Next Tuesday,Night,2,2,1
Next Tuesday,Morning,2,0,1
Next Tuesday,Evening,2,3,0
Next Wednesday,Night,2,1,3
Next Wednesday,Morning,3,2,1
Next Wednesday,Evening,0,0,0
Next Thursday,Night,3,3,0
Next Thursday,Morning,2,1,3
Next Thursday,Evening,1,0,0
Next Friday,Night,3,0,1
Next Friday,Morning,2,2,0
Next Friday,Evening,3,2,2
Next Saturday,Night,0,3,0
Next Saturday,Morning,3,3,0
Next Saturday,Evening,0,1,3
Next Sunday,Night,1,2,1
Next Sunday,Morning,2,3,0
Next Sunday,Evening,2,3,2
