Sprint Day,Shift,Nurse,Doctor,Admin
Monday,Night,3,0,0
Monday,Morning,3,0,3
Monday,Evening,1,2,2
Tuesday,Night,1,2,2
Tuesday,Morning,2,0,1
Tuesday,Evening,3,0,1
Wednesday,Night,0,0,1
Wednesday,Morning,3,1,1
Wednesday,Evening,2,0,0
Thursday,Night,1,3,0
Thursday,Morning,3,0,2
Thursday,Evening,2,2,0
Friday,Night,0,0,0
Friday,Morning,1,0,3
Friday,Evening,0,1,0
Saturday,Night,1,0,0
Saturday,Morning,0,1,0
Saturday,Evening,1,2,1
Sunday,Night,0,1,1
Sunday,Morning,3,3,0
Sunday,Evening,1,0,3
Next Monday,Night,1,2,1
Next Monday,Morning,2,2,2
Next Monday,Evening,2,3,2
Next Tuesday,Night,2,1,0
Next Tuesday,Morning,1,0,1
Next Tuesday,Evening,2,3,3
Next Wednesday,Night,2,0,1
Next Wednesday,Morning,3,2,1
Next Wednesday,Evening,0,0,3
Next Thursday,Night,2,3,2
Next Thursday,Morning,1,1,1
Next Thursday,Evening,2,0,3
Next Friday,Night,3,0,3
Next Friday,Morning,0,3,3
Next Friday,Evening,3,3,2
Next Saturday,Night,1,0,0
Next Saturday,Morning,2,3,1
Next Saturday,Evening,0,1,3
Next Sunday,Night,0,3,1
Next Sunday,Morning,0,1,2
Next Sunday,Evening,1,2,0
