Sprint Day,Shift,Nurse,Doctor,Admin
Monday,Night,1,3,3
Monday,Morning,1,0,0
Monday,Evening,1,1,3
Tuesday,Night,2,1,0
Tuesday,Morning,0,0,0
Tuesday,Evening,2,2,0
Wednesday,Night,2,2,2
Wednesday,Morning,3,2,1
Wednesday,Evening,1,2,1
Thursday,Night,1,2,3
Thursday,Morning,3,1,2
Thursday,Evening,1,1,0
Friday,Night,1,1,3
Friday,Morning,0,0,2
Friday,Evening,1,1,0
Saturday,Night,0,0,1
Saturday,Morning,1,1,1
Saturday,Evening,0,1,2
Sunday,Night,3,1,2
Sunday,Morning,3,2,0
Sunday,Evening,1,2,2
Next Monday,Night,1,0,1
Next Monday,Morning,1,0,0
Next Monday,Evening,2,0,2
Next Tuesday,Night,0,3,2
Next Tuesday,Morning,0,1,3
Next Tuesday,Evening,0,0,1
Next Wednesday,Night,2,1,2
Next Wednesday,Morning,0,1,3
Next Wednesday,Evening,0,0,1
Next Thursday,Night,2,0,1
Next Thursday,Morning,1,2,2
Next Thursday,Evening,3,0,1
Next Friday,Night,2,3,0
Next Friday,Morning,3,1,3
Next Friday,Evening,0,1,1
Next Saturday,Night,0,2,1
Next Saturday,Morning,2,1,0
Next Saturday,Evening,0,3,3
Next Sunday,Night,0,1,2
Next Sunday,Morning,0,0,2
Next Sunday,Evening,3,0,0
