Sprint Day,Shift,Nurse,Doctor,Admin
Monday,Night,2,3,1
Monday,Morning,1,1,2
Monday,Evening,3,2,2
Tuesday,Night,0,2,3
Tuesday,Morning,1,3,2
Tuesday,Evening,0,0,1
Wednesday,Night,2,3,3
Wednesday,Morning,3,0,1
Wednesday,Evening,3,0,1
Thursday,Night,2,2,1
Thursday,Morning,3,3,0
Thursday,Evening,3,1,3
Friday,Night,3,3,0
Friday,Morning,1,3,2
Friday,Evening,2,1,3
Saturday,Night,2,2,1
Saturday,Morning,2,1,2
Saturday,Evening,3,2,1
Sunday,Night,0,0,0
Sunday,Morning,0,0,0
Sunday,Evening,0,2,2
Next Monday,Night,2,1,0
Next Monday,Morning,2,3,3
Next Monday,Evening,1,0,1
Next Tuesday,Night,3,3,3
Next Tuesday,Morning,2,0,0
Next Tuesday,Evening,0,0,2
Next Wednesday,Night,0,0,0
Next Wednesday,Morning,1,2,0
Next Wednesday,Evening,3,3,1
Next Thursday,Night,2,0,2
Next Thursday,Morning,0,0,1
Next Thursday,Evening,0,2,3
Next Friday,Night,1,2,3
Next Friday,Morning,0,0,2
Next Friday,Evening,0,3,1
Next Saturday,Night,0,1,2
Next Saturday,Morning,3,0,0
Next Saturday,Evening,0,3,0
Next Sunday,Night,0,3,0
Next Sunday,Morning,2,1,2
Next Sunday,Evening,0,3,2
