Sprint Day,Shift,Nurse,Doctor,Admin
Monday,Night,0,3,2
Monday,Morning,2,0,1
Monday,Evening,2,0,0
Tuesday,Night,3,2,2
Tuesday,Morning,0,2,1
Tuesday,Evening,2,3,0
Wednesday,Night,0,1,0
Wednesday,Morning,0,0,1
Wednesday,Evening,2,0,3
Thursday,Night,0,3,3
Thursday,Morning,2,3,0
Thursday,Evening,2,1,0
Friday,Night,1,2,2
Friday,Morning,3,1,2
Friday,Evening,0,2,3
Saturday,Night,2,2,1
Saturday,Morning,0,2,1
Saturday,Evening,1,0,0
Sunday,Night,2,1,2
Sunday,Morning,0,3,2
Sunday,Evening,3,0,2
Next Monday,Night,2,2,3
Next Monday,Morning,2,1,3
Next Monday,Evening,3,0,3
Next Tuesday,Night,0,3,2
Next Tuesday,Morning,0,1,3
Next Tuesday,Evening,3,3,1
Next Wednesday,Night,2,2,0
Next Wednesday,Morning,3,1,1
Next Wednesday,Evening,1,2,1
Next Thursday,Night,0,2,1
Next Thursday,Morning,0,0,3
Next Thursday,Evening,1,1,3
Next Friday,Night,1,3,0
Next Friday,Morning,2,1,3
Next Friday,Evening,0,0,1
Next Saturday,Night,0,3,1
Next Saturday,Morning,1,0,2
Next Saturday,Evening,2,2,1
Next Sunday,Night,3,1,1
Next Sunday,Morning,3,1,1
Next Sunday,Evening,3,3,1
