Sprint Day,Shift,Nurse,Doctor,Admin
Monday,Night,0,3,0
Monday,Morning,0,0,1
Monday,Evening,1,0,3
Tuesday,Night,0,1,3
Tuesday,Morning,1,1,1
Tuesday,Evening,2,2,1
Wednesday,Night,1,2,1
Wednesday,Morning,0,3,0
Wednesday,Evening,0,0,3
Thursday,Night,2,1,3
Thursday,Morning,3,3,3
Thursday,Evening,1,3,3
Friday,Night,3,2,3
Friday,Morning,1,0,0
Friday,Evening,2,1,2
Saturday,Night,3,2,3
Saturday,Morning,0,3,2
Saturday,Evening,3,0,2
Sunday,Night,2,3,0
Sunday,Morning,1,0,2
Sunday,Evening,3,3,1
Next Monday,Night,1,0,3
Next Monday,Morning,1,0,2
Next Monday,Evening,1,2,1
Next Tuesday,Night,2,2,1
Next Tuesday,Morning,3,2,0
Next Tuesday,Evening,1,0,0
Next Wednesday,Night,3,1,0
Next Wednesday,Morning,2,3,1
Next Wednesday,Evening,1,1,2
Next Thursday,Night,1,0,1
Next Thursday,Morning,0,2,1
Next Thursday,Evening,3,0,1
Next Friday,Night,2,0,0
Next Friday,Morning,0,0,1
Next Friday,Evening,1,0,3
Next Saturday,Night,2,3,0
Next Saturday,Morning,1,1,2
Next Saturday,Evening,3,1,1
Next Sunday,Night,2,2,3
Next Sunday,Morning,1,2,0
Next Sunday,Evening,1,1,0
