Sprint Day,Shift,Nurse,Doctor,Admin
Monday,Night,0,1,1
Monday,Morning,2,2,3
Monday,Evening,2,1,1
Tuesday,Night,1,1,0
Tuesday,Morning,3,1,2
Tuesday,Evening,2,0,2
Wednesday,Night,0,1,1
Wednesday,Morning,0,3,1
Wednesday,Evening,2,0,0
Thursday,Night,0,1,0
Thursday,Morning,2,3,0
Thursday,Evening,1,1,3
Friday,Night,3,0,2
Friday,Morning,3,3,1
Friday,Evening,3,1,0
Saturday,Night,0,2,1
Saturday,Morning,3,3,2
Saturday,Evening,2,2,0
Sunday,Night,3,3,0
Sunday,Morning,1,2,2
Sunday,Evening,0,3,0
Next Monday,Night,2,1,0
Next Monday,Morning,1,3,2
Next Monday,Evening,0,3,0
Next Tuesday,Night,1,3,2
Next Tuesday,Morning,1,2,0
Next Tuesday,Evening,2,3,3
Next Wednesday,Night,1,0,1
Next Wednesday,Morning,0,2,3
Next Wednesday,Evening,2,2,2
Next Thursday,Night,2,3,0
Next Thursday,Morning,0,0,1
Next Thursday,Evening,0,1,1
Next Friday,Night,3,1,1
Next Friday,Morning,1,0,3
Next Friday,Evening,3,3,3
Next Saturday,Night,2,3,0
Next Saturday,Morning,0,2,1
Next Saturday,Evening,2,1,0
Next Sunday,Night,1,1,3
Next Sunday,Morning,0,2,2
Next Sunday,Evening,1,2,3
