Sprint Day,Shift,Nurse,Doctor,Admin
Monday,Night,1,3,1
Monday,Morning,0,0,1
Monday,Evening,3,0,2
Tuesday,Night,0,1,0
Tuesday,Morning,0,2,0
Tuesday,Evening,2,0,0
Wednesday,Night,1,0,3
Wednesday,Morning,3,0,3
Wednesday,Evening,3,1,0
Thursday,Night,2,3,3
Thursday,Morning,3,1,0
Thursday,Evening,0,3,0
Friday,Night,2,2,2
Friday,Morning,3,2,1
Friday,Evening,3,3,0
Saturday,Night,3,2,2
Saturday,Morning,0,3,0
Saturday,Evening,0,1,2
Sunday,Night,1,2,1
Sunday,Morning,3,0,1
Sunday,Evening,3,2,2
Next Monday,Night,3,2,3
Next Monday,Morning,0,1,1
Next Monday,Evening,2,2,1
Next Tuesday,Night,1,0,1
Next Tuesday,Morning,0,3,1
Next Tuesday,Evening,1,1,3
Next Wednesday,Night,0,2,3
Next Wednesday,Morning,3,1,0
Next Wednesday,Evening,1,3,0
Next Thursday,Night,2,2,0
Next Thursday,Morning,2,1,3
Next Thursday,Evening,0,1,3
Next Friday,Night,1,1,2
Next Friday,Morning,0,0,2
Next Friday,Evening,0,2,0
Next Saturday,Night,1,3,0
Next Saturday,Morning,3,0,0
Next Saturday,Evening,2,0,3
Next Sunday,Night,1,2,1
Next Sunday,Morning,0,3,3
Next Sunday,Evening,0,1,3
