Sprint Day,Shift,Nurse,Doctor,Admin
Monday,Night,1,1,0
Monday,Morning,0,2,0
Monday,Evening,0,1,1
Tuesday,Night,1,0,2
Tuesday,Morning,0,0,2
Tuesday,Evening,2,2,0
Wednesday,Night,2,1,2
Wednesday,Morning,0,1,1
Wednesday,Evening,0,2,0
Thursday,Night,2,0,1
Thursday,Morning,1,1,0
Thursday,Evening,0,2,2
Friday,Night,1,1,2
Friday,Morning,0,2,0
Friday,Evening,2,1,0
Saturday,Night,2,2,2
Saturday,Morning,1,1,0
Saturday,Evening,1,0,2
Sunday,Night,1,0,2
Sunday,Morning,2,2,2
Sunday,Evening,1,0,1
Next Monday,Night,1,1,2
Next Monday,Morning,1,2,2
Next Monday,Evening,1,0,0
Next Tuesday,Night,1,2,0
Next Tuesday,Morning,2,2,0
Next Tuesday,Evening,1,2,2
Next Wednesday,Night,0,0,2
Next Wednesday,Morning,1,1,2
Next Wednesday,Evening,2,2,0
Next Thursday,Night,2,0,2
Next Thursday,Morning,1,1,0
Next Thursday,Evening,1,2,1
Next Friday,Night,0,1,1
Next Friday,Morning,0,2,2
Next Friday,Evening,1,0,0
Next Saturday,Night,1,1,0
Next Saturday,Morning,1,1,2
Next Saturday,Evening,2,2,1
Next Sunday,Night,1,0,0
Next Sunday,Morning,1,1,1
Next Sunday,Evening,1,1,2
