Sprint Day,Shift,Nurse,Doctor,Admin
Monday,Night,1,1,2
Monday,Morning,3,1,1
Monday,Evening,0,3,1
Tuesday,Night,3,0,3
Tuesday,Morning,2,1,2
Tuesday,Evening,0,1,2
Wednesday,Night,0,1,0
Wednesday,Morning,1,0,1
Wednesday,Evening,1,3,3
Thursday,Night,0,0,2
Thursday,Morning,2,1,0
Thursday,Evening,0,1,2
Friday,Night,3,3,0
Friday,Morning,2,1,2
Friday,Evening,0,1,1
Saturday,Night,1,3,3
Saturday,Morning,3,1,3
Saturday,Evening,0,1,2
Sunday,Night,1,2,0
Sunday,Morning,2,3,0
Sunday,Evening,3,1,3
Next Monday,Night,0,2,1
Next Monday,Morning,3,0,2
Next Monday,Evening,0,3,3
Next Tuesday,Night,2,3,0
Next Tuesday,Morning,3,3,3
Next Tuesday,Evening,1,1,1
Next Wednesday,Night,3,0,3
Next Wednesday,Morning,1,2,2
Next Wednesday,Evening,2,3,0
Next Thursday,Night,1,2,2
Next Thursday,Morning,2,0,1
Next Thursday,Evening,1,3,0
Next Friday,Night,1,0,1
Next Friday,Morning,1,3,3
Next Friday,Evening,0,1,2
Next Saturday,Night,0,1,0
Next Saturday,Morning,2,3,3
Next Saturday,Evening,2,3,2
Next Sunday,Night,2,3,0
Next Sunday,Morning,0,2,2
Next Sunday,Evening,1,0,3
