Sprint Day,Shift,Nurse,Doctor,Admin
Monday,Night,1,0,3
Monday,Morning,2,2,1
Monday,Evening,3,0,2
Tuesday,Night,0,2,1
Tuesday,Morning,2,3,3
Tuesday,Evening,1,3,0
Wednesday,Night,1,2,0
Wednesday,Morning,2,1,3
Wednesday,Evening,3,2,2
Thursday,Night,3,1,3
Thursday,Morning,1,2,3
Thursday,Evening,1,1,3
Friday,Night,1,1,3
Friday,Morning,2,3,3
Friday,Evening,3,3,2
Saturday,Night,2,0,2
Saturday,Morning,3,3,3
Saturday,Evening,1,2,2
Sunday,Night,0,1,0
Sunday,Morning,2,2,3
Sunday,Evening,2,0,1
Next Monday,Night,3,1,1
Next Monday,Morning,0,3,3
Next Monday,Evening,1,2,0
Next Tuesday,Night,3,2,2
Next Tuesday,Morning,0,2,3
Next Tuesday,Evening,3,2,0
Next Wednesday,Night,0,0,2
Next Wednesday,Morning,0,0,0
Next Wednesday,Evening,1,2,1
Next Thursday,Night,2,3,0
Next Thursday,Morning,2,3,2
Next Thursday,Evening,3,1,1
Next Friday,Night,0,1,0
Next Friday,Morning,2,0,1
Next Friday,Evening,1,0,1
Next Saturday,Night,0,1,0
Next Saturday,Morning,2,1,2
Next Saturday,Evening,0,0,3
Next Sunday,Night,2,2,3
Next Sunday,Morning,3,2,3
Next Sunday,Evening,1,2,3
