Sprint Day,Shift,Nurse,Doctor,Admin
Monday,Night,1,3,1
Monday,Morning,3,3,3
Monday,Evening,0,3,4
Tuesday,Night,3,3,1
Tuesday,Morning,1,0,4
Tuesday,Evening,3,2,0
Wednesday,Night,4,2,2
Wednesday,Morning,2,1,3
Wednesday,Evening,0,4,3
Thursday,Night,3,3,0
Thursday,Morning,2,3,1
Thursday,Evening,2,2,2
Friday,Night,2,2,3
Friday,Morning,3,2,3
Friday,Evening,1,3,4
Saturday,Night,0,2,3
Saturday,Morning,1,2,0
Saturday,Evening,4,0,0
Sunday,Night,1,0,2
Sunday,Morning,3,4,1
Sunday,Evening,1,0,2
Next Monday,Night,1,0,4
Next Monday,Morning,1,4,1
Next Monday,Evening,1,0,2
Next Tuesday,Night,0,1,0
Next Tuesday,Morning,0,0,3
Next Tuesday,Evening,4,4,1
Next Wednesday,Night,0,1,4
Next Wednesday,Morning,3,4,4
Next Wednesday,Evening,0,2,1
Next Thursday,Night,4,0,3
Next Thursday,Morning,0,2,1
Next Thursday,Evening,4,0,3
Next Friday,Night,0,3,3
Next Friday,Morning,0,4,2
Next Friday,Evening,0,3,3
Next Saturday,Night,1,3,2
Next Saturday,Morning,2,4,2
Next Saturday,Evening,2,4,4
Next Sunday,Night,1,1,3
Next Sunday,Morning,1,4,1
Next Sunday,Evening,4,0,4
