Sprint Day,Shift,Nurse,Doctor,Admin
Monday,Night,1,1,0
Monday,Morning,4,0,4
Monday,Evening,0,0,3
Tuesday,Night,3,2,0
Tuesday,Morning,1,4,2
Tuesday,Evening,1,2,4
Wednesday,Night,4,2,0
Wednesday,Morning,0,0,4
Wednesday,Evening,4,1,2
Thursday,Night,2,0,4
Thursday,Morning,1,3,2
Thursday,Evening,1,3,4
Friday,Night,4,4,3
Friday,Morning,0,3,0
Friday,Evening,2,0,3
Saturday,Night,1,3,0
Saturday,Morning,4,2,2
Saturday,Evening,3,0,2
Sunday,Night,0,0,1
Sunday,Morning,1,3,2
Sunday,Evening,1,2,0
Next Monday,Night,2,0,2
Next Monday,Morning,3,2,1
Next Monday,Evening,1,0,2
Next Tuesday,Night,1,4,3
Next Tuesday,Morning,3,4,3
Next Tuesday,Evening,4,4,1
Next Wednesday,Night,3,1,3
Next Wednesday,Morning,2,3,1
Next Wednesday,Evening,3,2,2
Next Thursday,Night,3,1,2
Next Thursday,Morning,1,0,0
Next Thursday,Evening,3,4,0
Next Friday,Night,2,1,4
Next Friday,Morning,4,2,2
Next Friday,Evening,4,0,2
Next Saturday,Night,1,1,0
Next Saturday,Morning,2,3,1
Next Saturday,Evening,2,0,1
Next Sunday,Night,2,3,1
Next Sunday,Morning,2,1,3
Next Sunday,Evening,4,2,2
