Sprint Day,Shift,Nurse,Doctor,Admin
Monday,Night,1,0,2
Monday,Morning,0,0,0
Monday,Evening,0,3,2
Tuesday,Night,0,1,1
Tuesday,Morning,0,3,4
Tuesday,Evening,3,2,2
Wednesday,Night,4,4,2
Wednesday,Morning,0,2,1
Wednesday,Evening,2,3,3
Thursday,Night,1,4,4
Thursday,Morning,3,4,1
Thursday,Evening,3,1,3
Friday,Night,2,2,4
Friday,Morning,0,3,3
Friday,Evening,2,1,3
Saturday,Night,4,2,4
Saturday,Morning,0,2,0
Saturday,Evening,4,2,3
Sunday,Night,0,1,4
Sunday,Morning,3,3,2
Sunday,Evening,4,1,1
Next Monday,Night,1,0,4
Next Monday,Morning,2,1,2
Next Monday,Evening,4,3,2
Next Tuesday,Night,3,1,3
Next Tuesday,Morning,1,1,3
Next Tuesday,Evening,3,1,0
Next Wednesday,Night,0,2,3
Next Wednesday,Morning,2,2,0
Next Wednesday,Evening,4,2,2
Next Thursday,Night,3,2,4
Next Thursday,Morning,4,3,2
Next Thursday,Evening,0,0,3
Next Friday,Night,3,1,0
Next Friday,Morning,4,1,0
Next Friday,Evening,3,3,1
Next Saturday,Night,4,0,2
Next Saturday,Morning,3,1,4
Next Saturday,Evening,4,3,4
Next Sunday,Night,2,4,4
Next Sunday,Morning,1,2,1
Next Sunday,Evening,2,1,4
